time,open,high,low,close,volume,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume
2022-12-25 13:00:00,1218.38,1218.87,1217.21,1218.09,4524.5469,5511596.286043,9756.0,1975.904,2406859.722367
2022-12-25 14:00:00,1218.09,1218.36,1193.18,1214.24,53779.233,64865241.162911,52592.0,27460.2322,33122333.226283
2022-12-25 15:00:00,1214.25,1217.66,1209.71,1210.91,16581.5771,20128887.009221,22799.0,8203.3856,9958792.416304
2022-12-25 16:00:00,1210.91,1212.68,1207.02,1211.67,7803.4916,9446241.464718,16642.0,3765.3777,4557990.289963
2022-12-25 17:00:00,1211.68,1212.09,1209.03,1209.31,4788.7391,5798108.418863,10442.0,2045.8057,2477017.858262
2022-12-25 18:00:00,1209.31,1210.62,1208.12,1209.04,4348.0085,5259182.597367,10816.0,2001.6997,2421237.339778
2022-12-25 19:00:00,1209.05,1209.61,1195.22,1209.51,30372.2513,36555699.789558,35439.0,15254.4597,18358991.899103
2022-12-25 20:00:00,1209.52,1209.52,1204.15,1206.34,7261.0426,8762608.480661,13473.0,3571.6603,4309739.006122
2022-12-25 21:00:00,1206.34,1225.0,1205.88,1218.74,27765.4672,33765182.857584,30457.0,14612.6366,17765814.868797
2022-12-25 22:00:00,1218.75,1222.59,1215.75,1217.31,12859.9866,15668383.98269,20032.0,6392.6788,7788665.008121
2022-12-25 23:00:00,1217.31,1219.26,1215.84,1218.51,8115.1024,9880489.10541,13337.0,3795.5529,4621431.192881
2022-12-26 00:00:00,1218.52,1219.57,1216.81,1218.39,5338.0715,6503494.951363,12584.0,2599.3643,3167036.162878
2022-12-26 01:00:00,1218.38,1222.33,1217.67,1221.35,7015.434,8559778.20919,12985.0,3872.3806,4724722.836342
2022-12-26 02:00:00,1221.35,1224.2,1219.79,1222.01,8021.5388,9798341.210183,15132.0,3964.1975,4842349.816533
2022-12-26 03:00:00,1222.01,1222.75,1219.59,1220.91,6733.2164,8221722.537442,14217.0,2719.1668,3320691.644155
2022-12-26 04:00:00,1220.92,1223.43,1219.54,1220.29,6599.8177,8060764.474022,14251.0,3084.3209,3766749.253445
2022-12-26 05:00:00,1220.29,1222.25,1219.76,1219.92,4554.5099,5561489.99544,10899.0,2105.7081,2571248.526111
2022-12-26 06:00:00,1219.92,1220.6,1218.12,1219.25,5342.5833,6515136.701939,13313.0,1963.2952,2394172.100631
2022-12-26 07:00:00,1219.25,1221.1,1218.88,1220.69,4678.7442,5709260.9716,10905.0,2161.6006,2637641.74532
2022-12-26 08:00:00,1220.68,1220.96,1218.23,1219.49,4816.762,5874389.545991,12567.0,2195.8583,2677898.074477
2022-12-26 09:00:00,1219.48,1221.08,1218.62,1219.24,3376.8127,4119643.802599,9761.0,1757.6656,2144293.967185
2022-12-26 10:00:00,1219.24,1223.06,1219.0,1219.0,7660.8291,9355934.793272,15550.0,3566.5471,4355768.299561
2022-12-26 11:00:00,1219.01,1221.49,1218.59,1220.42,5746.8496,7011743.54421,12056.0,3158.3868,3853023.528677
2022-12-26 12:00:00,1220.42,1220.82,1219.22,1219.7,3972.1464,4845733.298157,9116.0,1924.5675,2347810.701827
2022-12-26 13:00:00,1219.7,1220.0,1211.67,1215.78,17167.4367,20879212.387491,18843.0,7682.7756,9342572.692911
2022-12-26 14:00:00,1215.78,1217.34,1214.39,1216.85,6432.4149,7821848.285726,13789.0,3691.5791,4488729.937515
2022-12-26 15:00:00,1216.86,1216.86,1213.44,1215.37,7726.8403,9389317.713749,13690.0,3283.8535,3990088.95874
