time,open,high,low,close,volume,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume
2022-12-25 15:00:00,16828.68,16857.96,16787.0,16793.09,10881.02046,183062282.243136,244777.0,5185.87538,87245734.9720206
2022-12-25 16:00:00,16793.49,16821.82,16771.7,16815.96,6529.9309,109700018.2361315,157674.0,3319.8067,55771824.2058912
2022-12-25 17:00:00,16815.96,16822.27,16792.12,16796.35,4802.22204,80712013.3973487,131042.0,2406.07858,40439435.1482843
2022-12-25 18:00:00,16796.17,16803.75,16774.5,16779.47,3485.71545,58536421.3723819,115313.0,1695.57244,28475043.9004614
2022-12-25 19:00:00,16779.75,16795.96,16727.0,16794.07,8228.6417,137895046.2051137,209150.0,4181.80293,70080239.8204621
2022-12-25 20:00:00,16794.07,16795.25,16753.44,16768.64,4004.34299,67162846.1788867,129772.0,1944.09486,32607366.753419
2022-12-25 21:00:00,16769.01,16845.63,16761.23,16830.88,6943.43368,116698454.5245322,180101.0,3611.82334,60705052.7491894
2022-12-25 22:00:00,16830.3,16846.0,16804.45,16821.83,5402.16404,90896737.341625,135452.0,2652.97418,44639331.0016371
2022-12-25 23:00:00,16821.65,16838.32,16811.5,16832.11,4290.94166,72196939.7551194,144982.0,2198.37564,36988999.0359866
2022-12-26 00:00:00,16832.11,16837.48,16820.75,16831.48,3849.75517,64787757.4298729,147729.0,1929.75427,32476377.5061205
2022-12-26 01:00:00,16831.49,16875.28,16827.13,16856.36,5332.03323,89813885.1327767,166214.0,2791.03615,47014087.4227299
2022-12-26 02:00:00,16856.36,16900.0,16853.46,16889.69,7076.28237,119440191.0857407,196579.0,3459.45252,58392448.7353907
2022-12-26 03:00:00,16889.77,16897.46,16872.44,16894.19,4786.80984,80827389.9918423,154447.0,2300.94296,38852569.597563
2022-12-26 04:00:00,16894.54,16924.0,16865.67,16877.15,6472.35355,109319995.2963634,197154.0,3106.79433,52475007.2560561
2022-12-26 05:00:00,16877.15,16890.98,16852.5,16853.3,4542.71623,76634146.4818246,158498.0,2167.00327,36557211.3238737
2022-12-26 06:00:00,16853.3,16868.63,16848.16,16853.88,3854.10576,64983061.8970606,145105.0,1937.80712,32673205.2823234
2022-12-26 07:00:00,16853.88,16856.0,16835.0,16843.65,4971.13523,83751308.6839893,169486.0,2419.0245,40755134.8135324
2022-12-26 08:00:00,16843.76,16847.02,16818.0,16839.35,4269.90494,71886314.5326642,160899.0,2087.08557,35137806.1260224
2022-12-26 09:00:00,16839.35,16852.94,16832.16,16832.98,4103.15157,69113942.9135431,137893.0,1933.72392,32571983.3364443
2022-12-26 10:00:00,16832.98,16865.62,16828.58,16847.65,5485.99772,92438844.0806919,172494.0,2760.50359,46514851.586732
2022-12-26 11:00:00,16847.65,16873.15,16844.56,16864.04,5747.35934,96910495.4784125,183030.0,2882.82285,48609597.0166074
2022-12-26 12:00:00,16864.64,16868.34,16850.27,16858.93,4670.4439,78737362.4639842,146283.0,2378.42369,40097310.4577494
2022-12-26 13:00:00,16858.65,16860.66,16831.85,16838.13,6763.40798,113934725.0534502,190881.0,3373.29741,56825498.8194824
2022-12-26 14:00:00,16838.13,16845.5,16826.13,16832.9,4740.96363,79818656.6922241,166430.0,2314.92121,38974598.4134622
2022-12-26 15:00:00,16833.12,16838.19,16791.0,16809.51,6486.96714,109082147.2162023,201485.0,3111.61882,52324305.9691847
2022-12-26 16:00:00,16809.51,16842.71,16798.38,16839.47,5429.25353,91357735.7158607,172070.0,2706.9526,45550054.3690738
2022-12-26 17:00:00,16839.03,16845.22,16827.03,16835.33,4237.54335,71340406.3706928,139778.0,2102.80128,35401727.6631874
2022-12-26 18:00:00,16835.34,16844.09,16813.95,16819.57,4324.84438,72768260.516083,137403.0,2149.65016,36169756.6993156
2022-12-26 19:00:00,16819.57,16862.23,16815.71,16841.0,5235.11578,88166913.4328663,155007.0,2714.71618,45719449.9342244
2022-12-26 20:00:00,16841.0,16848.4,16834.16,16842.58,3867.12598,65129528.612999,119510.0,1907.09225,32119280.1704552
2022-12-26 21:00:00,16842.26,16852.61,16822.71,16833.38,4374.56852,73667076.5459082,126989.0,2026.41376,34125527.6757176
2022-12-26 22:00:00,16833.38,16849.56,16831.48,16838.7,3471.40877,58458384.2353292,111342.0,1700.68862,28639812.768712
2022-12-26 23:00:00,16838.7,16944.52,16817.82,16919.39,10470.75865,176669008.7714119,258865.0,5478.65308,92443218.2822921
2022-12-27 00:00:00,16919.39,16972.83,16839.0,16870.39,12938.13967,218853299.2122032,290217.0,6325.17157,107004894.5096179
2022-12-27 01:00:00,16870.86,16890.08,16851.78,16865.6,5726.62492,96598628.9808948,178760.0,2964.98502,50014703.3106717
2022-12-27 02:00:00,16865.6,16891.68,16865.51,16880.19,4893.83273,82610425.7877798,159609.0,2520.8301,42553007.9699775
2022-12-27 03:00:00,16880.04,16884.87,16856.4,16876.51,4710.29472,79458331.2230145,160684.0,2329.05449,39289386.9991336
2022-12-27 04:00:00,16876.82,16894.57,16868.29,16891.26,4539.6629,76619186.422745,159348.0,2275.76477,38410514.0998859
2022-12-27 05:00:00,16891.27,16897.0,16868.86,16872.11,5026.7075,84859577.8162334,159130.0,2440.51108,41200367.4045327
2022-12-27 06:00:00,16872.1,16891.99,16858.75,16890.0,4708.66741,79454886.4123128,172683.0,2318.91034,39130840.2702794
2022-12-27 07:00:00,16890.0,16891.0,16853.52,16869.19,5990.54852,101084785.8681939,185681.0,2940.40721,49616785.5422012
2022-12-27 08:00:00,16869.68,16874.06,16830.75,16849.22,6596.333,111220277.1952421,227309.0,3183.17094,53671699.3175486
